YEAR,STATE,DEMO,AVG_SCORE,TEST_SUBJECT,TEST_YEAR
2017,TENNESSEE,G04_A_A,219.0,Reading,4
2017,TEXAS,G04_A_A,215.0,Reading,4
2017,UTAH,G04_A_A,225.0,Reading,4
2017,VERMONT,G04_A_A,226.0,Reading,4
2017,VIRGINIA,G04_A_A,228.0,Reading,4
2017,WASHINGTON,G04_A_A,223.0,Reading,4
2017,WEST_VIRGINIA,G04_A_A,217.0,Reading,4
2017,WISCONSIN,G04_A_A,220.0,Reading,4
2017,WYOMING,G04_A_A,227.0,Reading,4
2015,NATIONAL,G04_A_A,223.0,Reading,4
2015,ALABAMA,G04_A_A,217.0,Reading,4
2015,ALASKA,G04_A_A,213.0,Reading,4
2015,ARIZONA,G04_A_A,215.0,Reading,4
2015,ARKANSAS,G04_A_A,218.0,Reading,4
2015,CALIFORNIA,G04_A_A,213.0,Reading,4
2015,COLORADO,G04_A_A,224.0,Reading,4
2015,CONNECTICUT,G04_A_A,229.0,Reading,4
2015,DELAWARE,G04_A_A,224.0,Reading,4
2015,DISTRICT_OF_COLUMBIA,G04_A_A,212.0,Reading,4
2015,DODEA,G04_A_A,234.0,Reading,4
2015,FLORIDA,G04_A_A,227.0,Reading,4
2015,GEORGIA,G04_A_A,222.0,Reading,4
2015,HAWAII,G04_A_A,215.0,Reading,4
2015,IDAHO,G04_A_A,222.0,Reading,4
2015,ILLINOIS,G04_A_A,222.0,Reading,4
2015,INDIANA,G04_A_A,227.0,Reading,4
2015,IOWA,G04_A_A,224.0,Reading,4
2015,KANSAS,G04_A_A,221.0,Reading,4
2015,KENTUCKY,G04_A_A,228.0,Reading,4
2015,LOUISIANA,G04_A_A,216.0,Reading,4
2015,MAINE,G04_A_A,224.0,Reading,4
2015,MARYLAND,G04_A_A,223.0,Reading,4
2015,MASSACHUSETTS,G04_A_A,235.0,Reading,4
2015,MICHIGAN,G04_A_A,216.0,Reading,4
2015,MINNESOTA,G04_A_A,223.0,Reading,4
2015,MISSISSIPPI,G04_A_A,214.0,Reading,4
2015,MISSOURI,G04_A_A,223.0,Reading,4
2015,MONTANA,G04_A_A,225.0,Reading,4
2015,NEBRASKA,G04_A_A,227.0,Reading,4
2015,NEVADA,G04_A_A,214.0,Reading,4
2015,NEW_HAMPSHIRE,G04_A_A,232.0,Reading,4
2015,NEW_JERSEY,G04_A_A,229.0,Reading,4
2015,NEW_MEXICO,G04_A_A,207.0,Reading,4
2015,NEW_YORK,G04_A_A,223.0,Reading,4
2015,NORTH_CAROLINA,G04_A_A,226.0,Reading,4
2015,NORTH_DAKOTA,G04_A_A,225.0,Reading,4
2015,OHIO,G04_A_A,225.0,Reading,4
2015,OKLAHOMA,G04_A_A,222.0,Reading,4
2015,OREGON,G04_A_A,220.0,Reading,4
2015,PENNSYLVANIA,G04_A_A,227.0,Reading,4
2015,RHODE_ISLAND,G04_A_A,225.0,Reading,4
2015,SOUTH_CAROLINA,G04_A_A,218.0,Reading,4
2015,SOUTH_DAKOTA,G04_A_A,220.0,Reading,4
2015,TENNESSEE,G04_A_A,219.0,Reading,4
2015,TEXAS,G04_A_A,218.0,Reading,4
2015,UTAH,G04_A_A,226.0,Reading,4
2015,VERMONT,G04_A_A,230.0,Reading,4
2015,VIRGINIA,G04_A_A,229.0,Reading,4
2015,WASHINGTON,G04_A_A,226.0,Reading,4
2015,WEST_VIRGINIA,G04_A_A,216.0,Reading,4
2015,WISCONSIN,G04_A_A,223.0,Reading,4
2015,WYOMING,G04_A_A,228.0,Reading,4
2013,NATIONAL,G04_A_A,222.0,Reading,4
2013,ALABAMA,G04_A_A,219.0,Reading,4
2013,ALASKA,G04_A_A,209.0,Reading,4
2013,ARIZONA,G04_A_A,213.0,Reading,4
2013,ARKANSAS,G04_A_A,219.0,Reading,4
2013,CALIFORNIA,G04_A_A,213.0,Reading,4
2013,COLORADO,G04_A_A,227.0,Reading,4
2013,CONNECTICUT,G04_A_A,230.0,Reading,4
2013,DELAWARE,G04_A_A,226.0,Reading,4
2013,DISTRICT_OF_COLUMBIA,G04_A_A,206.0,Reading,4
2013,DODEA,G04_A_A,232.0,Reading,4
2013,FLORIDA,G04_A_A,227.0,Reading,4
2013,GEORGIA,G04_A_A,222.0,Reading,4
2013,HAWAII,G04_A_A,215.0,Reading,4
2013,IDAHO,G04_A_A,219.0,Reading,4
2013,ILLINOIS,G04_A_A,219.0,Reading,4
2013,INDIANA,G04_A_A,225.0,Reading,4
2013,IOWA,G04_A_A,224.0,Reading,4
2013,KANSAS,G04_A_A,223.0,Reading,4
2013,KENTUCKY,G04_A_A,224.0,Reading,4
2013,LOUISIANA,G04_A_A,210.0,Reading,4
2013,MAINE,G04_A_A,225.0,Reading,4
2013,MARYLAND,G04_A_A,232.0,Reading,4
2013,MASSACHUSETTS,G04_A_A,232.0,Reading,4
2013,MICHIGAN,G04_A_A,217.0,Reading,4
2013,MINNESOTA,G04_A_A,227.0,Reading,4
2013,MISSISSIPPI,G04_A_A,209.0,Reading,4
2013,MISSOURI,G04_A_A,222.0,Reading,4
2013,MONTANA,G04_A_A,223.0,Reading,4
2013,NEBRASKA,G04_A_A,223.0,Reading,4
2013,NEVADA,G04_A_A,214.0,Reading,4
2013,NEW_HAMPSHIRE,G04_A_A,232.0,Reading,4
2013,NEW_JERSEY,G04_A_A,229.0,Reading,4
2013,NEW_MEXICO,G04_A_A,206.0,Reading,4
2013,NEW_YORK,G04_A_A,224.0,Reading,4
2013,NORTH_CAROLINA,G04_A_A,222.0,Reading,4
2013,NORTH_DAKOTA,G04_A_A,224.0,Reading,4
2013,OHIO,G04_A_A,224.0,Reading,4
2013,OKLAHOMA,G04_A_A,217.0,Reading,4
2013,OREGON,G04_A_A,219.0,Reading,4
2013,PENNSYLVANIA,G04_A_A,226.0,Reading,4
2013,RHODE_ISLAND,G04_A_A,223.0,Reading,4
2013,SOUTH_CAROLINA,G04_A_A,214.0,Reading,4
2013,SOUTH_DAKOTA,G04_A_A,218.0,Reading,4
2013,TENNESSEE,G04_A_A,220.0,Reading,4
2013,TEXAS,G04_A_A,217.0,Reading,4
2013,UTAH,G04_A_A,223.0,Reading,4
2013,VERMONT,G04_A_A,228.0,Reading,4
2013,VIRGINIA,G04_A_A,229.0,Reading,4
2013,WASHINGTON,G04_A_A,225.0,Reading,4
2013,WEST_VIRGINIA,G04_A_A,215.0,Reading,4
2013,WISCONSIN,G04_A_A,221.0,Reading,4
2013,WYOMING,G04_A_A,226.0,Reading,4
2011,NATIONAL,G04_A_A,221.0,Reading,4
2011,ALABAMA,G04_A_A,220.0,Reading,4
2011,ALASKA,G04_A_A,208.0,Reading,4
2011,ARIZONA,G04_A_A,212.0,Reading,4
2011,ARKANSAS,G04_A_A,217.0,Reading,4
2011,CALIFORNIA,G04_A_A,211.0,Reading,4
2011,COLORADO,G04_A_A,223.0,Reading,4
2011,CONNECTICUT,G04_A_A,227.0,Reading,4
2011,DELAWARE,G04_A_A,225.0,Reading,4
2011,DISTRICT_OF_COLUMBIA,G04_A_A,201.0,Reading,4
2011,DODEA,G04_A_A,229.0,Reading,4
2011,FLORIDA,G04_A_A,225.0,Reading,4
2011,GEORGIA,G04_A_A,221.0,Reading,4
2011,HAWAII,G04_A_A,214.0,Reading,4
2011,IDAHO,G04_A_A,221.0,Reading,4
2011,ILLINOIS,G04_A_A,219.0,Reading,4
2011,INDIANA,G04_A_A,221.0,Reading,4
2011,IOWA,G04_A_A,221.0,Reading,4
2011,KANSAS,G04_A_A,224.0,Reading,4
2011,KENTUCKY,G04_A_A,225.0,Reading,4
2011,LOUISIANA,G04_A_A,210.0,Reading,4
2011,MAINE,G04_A_A,222.0,Reading,4
2011,MARYLAND,G04_A_A,231.0,Reading,4
2011,MASSACHUSETTS,G04_A_A,237.0,Reading,4
2011,MICHIGAN,G04_A_A,219.0,Reading,4
2011,MINNESOTA,G04_A_A,222.0,Reading,4
2011,MISSISSIPPI,G04_A_A,209.0,Reading,4
2011,MISSOURI,G04_A_A,220.0,Reading,4
2011,MONTANA,G04_A_A,225.0,Reading,4
2011,NEBRASKA,G04_A_A,223.0,Reading,4
2011,NEVADA,G04_A_A,213.0,Reading,4
2011,NEW_HAMPSHIRE,G04_A_A,230.0,Reading,4
2011,NEW_JERSEY,G04_A_A,231.0,Reading,4
2011,NEW_MEXICO,G04_A_A,208.0,Reading,4
2011,NEW_YORK,G04_A_A,222.0,Reading,4
2011,NORTH_CAROLINA,G04_A_A,221.0,Reading,4
2011,NORTH_DAKOTA,G04_A_A,226.0,Reading,4
2011,OHIO,G04_A_A,224.0,Reading,4
2011,OKLAHOMA,G04_A_A,215.0,Reading,4
2011,OREGON,G04_A_A,216.0,Reading,4
2011,PENNSYLVANIA,G04_A_A,227.0,Reading,4
2011,RHODE_ISLAND,G04_A_A,222.0,Reading,4
2011,SOUTH_CAROLINA,G04_A_A,215.0,Reading,4
2011,SOUTH_DAKOTA,G04_A_A,220.0,Reading,4
2011,TENNESSEE,G04_A_A,215.0,Reading,4
2011,TEXAS,G04_A_A,218.0,Reading,4
2011,UTAH,G04_A_A,220.0,Reading,4
2011,VERMONT,G04_A_A,227.0,Reading,4
2011,VIRGINIA,G04_A_A,226.0,Reading,4
2011,WASHINGTON,G04_A_A,221.0,Reading,4
2011,WEST_VIRGINIA,G04_A_A,214.0,Reading,4
2011,WISCONSIN,G04_A_A,221.0,Reading,4
2011,WYOMING,G04_A_A,224.0,Reading,4
2009,NATIONAL,G04_A_A,221.0,Reading,4
2009,ALABAMA,G04_A_A,216.0,Reading,4
2009,ALASKA,G04_A_A,211.0,Reading,4
2009,ARIZONA,G04_A_A,210.0,Reading,4
2009,ARKANSAS,G04_A_A,216.0,Reading,4
2009,CALIFORNIA,G04_A_A,210.0,Reading,4
2009,COLORADO,G04_A_A,226.0,Reading,4
2009,CONNECTICUT,G04_A_A,229.0,Reading,4
2009,DELAWARE,G04_A_A,226.0,Reading,4
2009,DISTRICT_OF_COLUMBIA,G04_A_A,202.0,Reading,4
2009,DODEA,G04_A_A,228.0,Reading,4
2009,FLORIDA,G04_A_A,226.0,Reading,4
2009,GEORGIA,G04_A_A,218.0,Reading,4
2009,HAWAII,G04_A_A,211.0,Reading,4
2009,IDAHO,G04_A_A,221.0,Reading,4
2009,ILLINOIS,G04_A_A,219.0,Reading,4
2009,INDIANA,G04_A_A,223.0,Reading,4
2009,IOWA,G04_A_A,221.0,Reading,4
2009,KANSAS,G04_A_A,224.0,Reading,4
2009,KENTUCKY,G04_A_A,226.0,Reading,4
2009,LOUISIANA,G04_A_A,207.0,Reading,4
2009,MAINE,G04_A_A,224.0,Reading,4
2009,MARYLAND,G04_A_A,226.0,Reading,4
2009,MASSACHUSETTS,G04_A_A,234.0,Reading,4
2009,MICHIGAN,G04_A_A,218.0,Reading,4
2009,MINNESOTA,G04_A_A,223.0,Reading,4
2009,MISSISSIPPI,G04_A_A,211.0,Reading,4
2009,MISSOURI,G04_A_A,224.0,Reading,4
2009,MONTANA,G04_A_A,225.0,Reading,4
2009,NEBRASKA,G04_A_A,223.0,Reading,4
2009,NEVADA,G04_A_A,211.0,Reading,4
2009,NEW_HAMPSHIRE,G04_A_A,229.0,Reading,4
2009,NEW_JERSEY,G04_A_A,229.0,Reading,4
2009,NEW_MEXICO,G04_A_A,208.0,Reading,4
2009,NEW_YORK,G04_A_A,224.0,Reading,4
2009,NORTH_CAROLINA,G04_A_A,219.0,Reading,4
2009,NORTH_DAKOTA,G04_A_A,226.0,Reading,4
2009,OHIO,G04_A_A,225.0,Reading,4
2009,OKLAHOMA,G04_A_A,217.0,Reading,4
2009,OREGON,G04_A_A,218.0,Reading,4
2009,PENNSYLVANIA,G04_A_A,224.0,Reading,4
2009,RHODE_ISLAND,G04_A_A,223.0,Reading,4
2009,SOUTH_CAROLINA,G04_A_A,216.0,Reading,4
2009,SOUTH_DAKOTA,G04_A_A,222.0,Reading,4
2009,TENNESSEE,G04_A_A,217.0,Reading,4
2009,TEXAS,G04_A_A,219.0,Reading,4
2009,UTAH,G04_A_A,219.0,Reading,4
2009,VERMONT,G04_A_A,229.0,Reading,4
2009,VIRGINIA,G04_A_A,227.0,Reading,4
2009,WASHINGTON,G04_A_A,221.0,Reading,4
2009,WEST_VIRGINIA,G04_A_A,215.0,Reading,4
2009,WISCONSIN,G04_A_A,220.0,Reading,4
2009,WYOMING,G04_A_A,223.0,Reading,4
2007,NATIONAL,G04_A_A,221.0,Reading,4
2007,ALABAMA,G04_A_A,216.0,Reading,4
2007,ALASKA,G04_A_A,214.0,Reading,4
2007,ARIZONA,G04_A_A,210.0,Reading,4
2007,ARKANSAS,G04_A_A,217.0,Reading,4
2007,CALIFORNIA,G04_A_A,209.0,Reading,4
2007,COLORADO,G04_A_A,224.0,Reading,4
2007,CONNECTICUT,G04_A_A,227.0,Reading,4
2007,DELAWARE,G04_A_A,225.0,Reading,4
2007,DISTRICT_OF_COLUMBIA,G04_A_A,197.0,Reading,4
2007,DODEA,G04_A_A,229.0,Reading,4
2007,FLORIDA,G04_A_A,224.0,Reading,4
2007,GEORGIA,G04_A_A,219.0,Reading,4
2007,HAWAII,G04_A_A,213.0,Reading,4
2007,IDAHO,G04_A_A,223.0,Reading,4
2007,ILLINOIS,G04_A_A,219.0,Reading,4
2007,INDIANA,G04_A_A,222.0,Reading,4
2007,IOWA,G04_A_A,225.0,Reading,4
2007,KANSAS,G04_A_A,225.0,Reading,4
2007,KENTUCKY,G04_A_A,222.0,Reading,4
2007,LOUISIANA,G04_A_A,207.0,Reading,4
2007,MAINE,G04_A_A,226.0,Reading,4
2007,MARYLAND,G04_A_A,225.0,Reading,4
2007,MASSACHUSETTS,G04_A_A,236.0,Reading,4
2007,MICHIGAN,G04_A_A,220.0,Reading,4
2007,MINNESOTA,G04_A_A,225.0,Reading,4
2007,MISSISSIPPI,G04_A_A,208.0,Reading,4
2007,MISSOURI,G04_A_A,221.0,Reading,4
2007,MONTANA,G04_A_A,227.0,Reading,4
2007,NEBRASKA,G04_A_A,223.0,Reading,4
2007,NEVADA,G04_A_A,211.0,Reading,4
2007,NEW_HAMPSHIRE,G04_A_A,229.0,Reading,4
2007,NEW_JERSEY,G04_A_A,231.0,Reading,4
2007,NEW_MEXICO,G04_A_A,212.0,Reading,4
2007,NEW_YORK,G04_A_A,224.0,Reading,4
2007,NORTH_CAROLINA,G04_A_A,218.0,Reading,4
2007,NORTH_DAKOTA,G04_A_A,226.0,Reading,4
2007,OHIO,G04_A_A,226.0,Reading,4
2007,OKLAHOMA,G04_A_A,217.0,Reading,4
2007,OREGON,G04_A_A,215.0,Reading,4
2007,PENNSYLVANIA,G04_A_A,226.0,Reading,4
2007,RHODE_ISLAND,G04_A_A,219.0,Reading,4
2007,SOUTH_CAROLINA,G04_A_A,214.0,Reading,4
2007,SOUTH_DAKOTA,G04_A_A,223.0,Reading,4
2007,TENNESSEE,G04_A_A,216.0,Reading,4
2007,TEXAS,G04_A_A,220.0,Reading,4
2007,UTAH,G04_A_A,221.0,Reading,4
2007,VERMONT,G04_A_A,228.0,Reading,4
2007,VIRGINIA,G04_A_A,227.0,Reading,4
2007,WASHINGTON,G04_A_A,224.0,Reading,4
2007,WEST_VIRGINIA,G04_A_A,215.0,Reading,4
2007,WISCONSIN,G04_A_A,223.0,Reading,4
2007,WYOMING,G04_A_A,225.0,Reading,4
2005,NATIONAL,G04_A_A,219.0,Reading,4
2005,ALABAMA,G04_A_A,208.0,Reading,4
2005,ALASKA,G04_A_A,211.0,Reading,4
2005,ARIZONA,G04_A_A,207.0,Reading,4
2005,ARKANSAS,G04_A_A,217.0,Reading,4
2005,CALIFORNIA,G04_A_A,207.0,Reading,4
2005,COLORADO,G04_A_A,224.0,Reading,4
2005,CONNECTICUT,G04_A_A,226.0,Reading,4
2005,DELAWARE,G04_A_A,226.0,Reading,4
2005,DISTRICT_OF_COLUMBIA,G04_A_A,191.0,Reading,4
2005,DODEA,G04_A_A,226.0,Reading,4
2005,FLORIDA,G04_A_A,219.0,Reading,4
2005,GEORGIA,G04_A_A,214.0,Reading,4
2005,HAWAII,G04_A_A,210.0,Reading,4
2005,IDAHO,G04_A_A,222.0,Reading,4
2005,ILLINOIS,G04_A_A,216.0,Reading,4
2005,INDIANA,G04_A_A,218.0,Reading,4
