category,mean,median,std,count
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,40.0,40.0,,1
Electronics|Cameras&Photography|Accessories|Film,0.0,0.0,,1
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,46.0,46.0,,1
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,38.0,38.0,,1
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,69.5,69.5,14.849242404917497,2
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,62.5,62.5,3.5355339059327378,2
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,60.0,60.0,,1
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,42.6,38.0,19.882152800941853,5
Electronics|Cameras&Photography|VideoCameras,75.0,75.0,,1
Electronics|GeneralPurposeBatteries&BatteryChargers,23.5,26.0,21.748563170931547,4
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,14.285714285714286,15.0,4.956957592256421,7
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,13.333333333333334,20.0,11.547005383792515,3
"Electronics|Headphones,Earbuds&Accessories|Adapters",88.0,88.0,0.0,2
"Electronics|Headphones,Earbuds&Accessories|Cases",76.0,76.0,,1
"Electronics|Headphones,Earbuds&Accessories|Earpads",90.0,90.0,,1
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",58.26923076923077,62.5,19.440321332589356,52
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",52.375,55.0,19.812964730917265,8
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",69.0,69.0,7.0710678118654755,2
Electronics|HomeAudio|Accessories|Adapters,65.0,65.0,,1
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,73.0,73.0,,1
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.0,0.0,,1
Electronics|HomeAudio|Speakers|BluetoothSpeakers,48.5,49.5,17.53567791675018,6
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,38.0,38.0,,1
Electronics|HomeAudio|Speakers|OutdoorSpeakers,56.25,57.5,4.787135538781691,4
Electronics|HomeAudio|Speakers|SoundbarSpeakers,60.0,60.0,,1
Electronics|HomeAudio|Speakers|TowerSpeakers,43.0,43.0,,1
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",36.0,36.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",23.0,23.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",59.791666666666664,60.5,15.015873243849734,24
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",46.333333333333336,32.0,25.69695182961071,3
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",50.5,50.5,12.020815280171307,2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",50.0,50.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",59.51020408163265,60.0,14.52314596454511,49
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",51.166666666666664,54.5,20.409964886463342,6
"Electronics|HomeTheater,TV&Video|Projectors",42.666666666666664,41.0,8.621678104251709,3
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",51.333333333333336,48.0,7.571877794400366,3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",38.285714285714285,39.0,12.189933143626464,63
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",52.166666666666664,49.0,7.082843120291926,6
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,60.333333333333336,65.0,18.448125469362285,3
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,72.0,72.0,0.0,2
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,70.75,77.5,22.7943706500823,4
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,58.0,52.0,14.071247279470288,5
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,38.0,39.0,15.96017771603038,12
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,51.4375,53.0,18.088555313604605,16
Electronics|Mobiles&Accessories|MobileAccessories|Décor,73.2,81.0,12.11197754291181,5
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,90.0,90.0,,1
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",66.85714285714286,66.0,8.454359258760563,7
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,74.5,74.5,0.7071067811865476,2
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,66.0,66.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,82.0,82.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,51.0,51.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,65.4,57.0,13.352902306240393,5
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,66.0,66.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Stands,76.4,80.0,9.34760813137659,10
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,64.625,65.0,1.0606601717798205,8
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,18.555555555555557,19.0,4.901813723284247,9
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,23.294117647058822,25.0,8.707620309168238,68
Electronics|PowerAccessories|SurgeProtectors,14.0,14.0,,1
Electronics|WearableTechnology|SmartWatches,69.8157894736842,74.5,13.484520039725343,76
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,53.0,53.0,,1
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,0.0,0.0,,1
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,10.0,10.0,,1
Home&Kitchen|CraftMaterials|PaintingMaterials,0.0,0.0,,1
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,9.333333333333334,13.0,8.144527815247077,3
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,21.0,21.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",43.0,43.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",41.0,32.5,24.179881444429512,4
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",38.18181818181818,38.0,10.600171525198842,11
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",24.666666666666668,26.0,9.073771725877465,3
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",40.0,40.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",42.0,42.0,1.4142135623730951,2
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",39.333333333333336,38.0,3.214550253664319,3
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",59.0,59.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",51.5,51.5,2.1213203435596424,2
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",36.0,35.0,16.682799209775446,20
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",42.45,41.5,13.304035794489305,20
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",29.5,29.5,21.920310216782973,2
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",27.0,27.0,1.4142135623730951,2
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",31.77777777777778,34.0,14.43760521847181,9
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",48.04347826086956,50.0,11.271356540402294,23
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",45.083333333333336,48.0,10.264310040429441,12
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,47.0,47.0,14.142135623730951,2
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,60.0,60.0,,1
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,44.84615384615385,51.0,21.05091507847166,13
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,60.0,60.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",51.0,51.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",56.333333333333336,59.0,5.507570547286101,3
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",27.0,27.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",37.4,41.0,12.259690045021529,5
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",17.0,17.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",41.333333333333336,43.0,13.576941236277534,3
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",54.0,54.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,40.5,45.5,15.110702608857515,4
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,39.0,39.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,44.0,38.0,21.059439688652688,5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,53.9,55.5,24.857147418353897,10
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,23.5,23.5,33.23401871576773,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,52.90909090909091,56.0,12.541567250184848,11
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,41.68421052631579,45.0,20.760680334546276,19
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,42.0,32.0,19.078784028338912,3
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,44.9,44.0,8.143845665422583,10
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,44.166666666666664,40.5,20.979788253257354,12
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,52.5,52.5,34.64823227814083,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,47.0,47.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,39.0,46.0,17.26589444862649,19
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,44.23076923076923,40.0,13.179237750807431,13
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,21.5,21.5,10.606601717798213,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,41.875,44.0,14.277229623224729,8
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,43.96296296296296,47.0,12.595730294525271,27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,9.5,9.5,7.7781745930520225,2
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,13.0,0.0,22.516660498395403,3
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,31.8,31.0,8.197560612767678,5
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,33.0,33.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,32.36363636363637,29.0,19.179534547390492,11
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,8.0,8.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,0.0,0.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,48.0,48.0,,1
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,31.428571428571427,46.0,26.73235955951228,7
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,53.333333333333336,55.0,2.886751345948128,3
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,55.0,55.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",34.25,39.5,14.727230029704366,24
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",23.833333333333332,20.0,15.712376900990757,12
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",51.31818181818182,52.5,18.612301010830148,22
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",44.333333333333336,46.0,3.785938897200182,3
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",49.0,49.0,,1
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",28.25,31.5,13.573871960498227,4
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",37.75,45.5,16.739602316491442,8
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",45.0,45.0,11.313708498984761,2
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",43.666666666666664,44.5,12.38816639647154,6
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,3.0,3.0,3.0,3
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,42.5,46.0,26.959565683040626,12
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,40.81818181818182,50.0,32.12419082815373,11
HomeImprovement|Electrical|Adapters&Multi-Outlets,57.0,57.0,,1
HomeImprovement|Electrical|CordManagement,58.0,58.0,,1
MusicalInstruments|Microphones|Condenser,46.0,46.0,19.79898987322333,2
OfficeProducts|OfficeElectronics|Calculators|Basic,0.0,0.0,,1
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,0.0,0.0,,1
OfficeProducts|OfficeElectronics|Calculators|Scientific,2.5,2.5,3.5355339059327378,2
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,0.0,0.0,,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",53.0,53.0,,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",12.0,11.0,12.635927614016577,7
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",62.0,62.0,18.384776310850235,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",5.75,3.5,5.678908345800274,4
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",5.0,5.0,7.0710678118654755,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",0.0,0.0,,1
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",0.0,0.0,0.0,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",5.0,5.0,7.0710678118654755,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",17.5,17.5,3.5355339059327378,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",13.0,15.0,12.12435565298214,3
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,0.0,0.0,,1
